date,open,high,low,close,adj close,volume,dividends,stock splits
2020-07-10 00:00:00-04:00,14.850000381469727,14.850000381469727,14.850000381469727,14.850000381469727,13.722588539123535,800,0.0,0.0
2020-07-13 00:00:00-04:00,14.850000381469727,14.850000381469727,14.850000381469727,14.850000381469727,13.722588539123535,0,0.0,0.0
2020-07-14 00:00:00-04:00,14.65999984741211,14.890000343322754,14.600000381469727,14.890000343322754,13.759552001953125,700,0.0,0.0
2020-07-15 00:00:00-04:00,15.25,15.25,14.800000190734863,15.109999656677246,13.962848663330078,1700,0.0,0.0
2020-07-16 00:00:00-04:00,15.050000190734863,15.050000190734863,15.050000190734863,15.050000190734863,13.907404899597168,200,0.0,0.0
2020-07-17 00:00:00-04:00,15.050000190734863,15.050000190734863,15.050000190734863,15.050000190734863,13.907404899597168,0,0.0,0.0
2020-07-20 00:00:00-04:00,15.050000190734863,15.050000190734863,15.050000190734863,15.050000190734863,13.907404899597168,0,0.0,0.0
2020-07-21 00:00:00-04:00,15.0,15.220000267028809,14.729999542236328,15.220000267028809,14.064497947692871,1000,0.0,0.0
2020-07-22 00:00:00-04:00,14.600000381469727,14.600000381469727,14.600000381469727,14.600000381469727,13.491568565368652,300,0.0,0.0
2020-07-23 00:00:00-04:00,14.600000381469727,14.600000381469727,14.600000381469727,14.600000381469727,13.491568565368652,0,0.0,0.0
2020-07-24 00:00:00-04:00,14.600000381469727,14.600000381469727,14.600000381469727,14.600000381469727,13.491568565368652,0,0.0,0.0
2020-07-27 00:00:00-04:00,15.0,15.0,14.979999542236328,14.979999542236328,13.842719078063965,1200,0.0,0.0
2020-07-28 00:00:00-04:00,15.0,15.0,14.199999809265137,14.729999542236328,13.611698150634766,1600,0.0,0.0
2020-07-29 00:00:00-04:00,15.289999961853027,15.289999961853027,14.760000228881836,14.930000305175781,13.796515464782715,2500,0.0,0.0
2020-07-30 00:00:00-04:00,15.479999542236328,15.479999542236328,15.430000305175781,15.479999542236328,14.30475902557373,600,0.0,0.0
2020-07-31 00:00:00-04:00,15.460000038146973,16.5,15.460000038146973,15.760000228881836,14.563501358032227,2300,0.0,0.0
2020-08-03 00:00:00-04:00,16.0,16.0,16.0,16.0,14.785279273986816,300,0.0,0.0
2020-08-04 00:00:00-04:00,16.0,16.0,16.0,16.0,14.785279273986816,0,0.0,0.0
2020-08-05 00:00:00-04:00,15.300000190734863,15.800000190734863,15.300000190734863,15.800000190734863,14.6004638671875,500,0.0,0.0
2020-08-06 00:00:00-04:00,16.5,16.5,16.0,16.0,14.785279273986816,1100,0.0,0.0
2020-08-07 00:00:00-04:00,15.5,15.5,15.020000457763672,15.109999656677246,13.962848663330078,3100,0.0,0.0
2020-08-10 00:00:00-04:00,15.300000190734863,16.15999984741211,15.149999618530273,15.149999618530273,13.999812126159668,1400,0.0,0.0
2020-08-11 00:00:00-04:00,15.75,16.149999618530273,15.489999771118164,15.489999771118164,14.31399917602539,600,0.0,0.0
2020-08-12 00:00:00-04:00,15.489999771118164,15.489999771118164,15.489999771118164,15.489999771118164,14.31399917602539,0,0.0,0.0
2020-08-13 00:00:00-04:00,16.239999771118164,16.239999771118164,15.199999809265137,15.199999809265137,14.046016693115234,4700,0.0,0.0
