symbol,start_date,end_date,total_days
MGL,2016-07-01,2025-12-26,2345
MINDACORP,2012-03-19,2025-12-26,3399
MMTC,2010-01-08,2025-12-26,3944
MOTHERSON,2002-07-01,2025-12-26,5834
MOTILALOFS,2007-09-11,2025-12-26,4512
MPHASIS,2002-07-01,2025-12-26,5833
MRF,2002-07-01,2025-12-26,5833
MRPL,1996-01-01,2025-12-26,7528
MSUMI,2022-03-28,2025-12-26,929
MUTHOOTFIN,2011-05-06,2025-12-26,3613
NAM-INDIA,2017-11-06,2025-12-26,2013
NATCOPHARM,1996-01-01,2025-12-26,7529
NATIONALUM,1999-04-28,2025-12-26,6661
NAUKRI,2006-11-21,2025-12-26,4712
NAVA,2002-07-01,2025-12-26,5833
NAVINFLUOR,2007-06-01,2025-12-26,4583
NBCC,2012-04-12,2025-12-26,3383
NCC,2002-08-12,2025-12-26,5804
NESTLEIND,2002-08-12,2025-12-26,5806
NETWEB,2023-07-27,2025-12-26,598
NEULANDLAB,2008-10-13,2025-12-26,4243
NEWGEN,2018-01-29,2025-12-26,1955
NH,2016-01-06,2025-12-26,2465
NHPC,2009-09-01,2025-12-26,4028
NIACL,2017-11-13,2025-12-26,2008
NIVABUPA,2024-11-14,2025-12-26,278
NLCINDIA,2000-08-23,2025-12-26,6318
NMDC,2008-03-03,2025-12-26,4392
NSLNISP,2023-02-20,2025-12-26,704
NTPC,2004-11-05,2025-12-26,5222
NTPCGREEN,2024-11-27,2025-12-26,271
NUVAMA,2023-09-26,2025-12-26,552
NUVOCO,2021-08-23,2025-12-26,1076
NYKAA,2021-11-10,2025-12-26,1023
OBEROIRLTY,2010-10-20,2025-12-26,3747
OFSS,2002-06-28,2025-12-26,5835
OIL,2009-09-30,2025-12-26,4009
OLAELEC,2024-08-09,2025-12-26,345
OLECTRA,2002-07-01,2025-12-26,5833
ONESOURCE,2025-01-24,2025-12-26,230
ONGC,1996-01-01,2025-12-26,7528
PAGEIND,2007-03-16,2025-12-26,4633
PATANJALI,2002-07-01,2025-12-26,5833
PAYTM,2021-11-18,2025-12-26,1017
PCBL,2002-07-01,2025-12-26,5833
PERSISTENT,2010-04-06,2025-12-26,3886
PETRONET,2004-03-26,2025-12-26,5382
PFC,2007-02-23,2025-12-26,4649
PFIZER,2002-07-01,2025-12-26,5833
PGEL,2011-09-26,2025-12-26,3515
PGHH,2002-08-12,2025-12-26,5804
PHOENIXLTD,2007-04-23,2025-12-26,4610
PIDILITIND,2002-07-01,2025-12-26,5833
PIIND,2011-06-15,2025-12-26,3585
PNB,2002-07-01,2025-12-26,5835
PNBHOUSING,2016-11-07,2025-12-26,2261
POLICYBZR,2021-11-15,2025-12-26,1020
POLYCAB,2019-04-16,2025-12-26,1657
POLYMED,2011-12-07,2025-12-26,3469
POONAWALLA,2004-04-27,2025-12-26,5359
POWERGRID,2007-10-05,2025-12-26,4495
POWERINDIA,2020-03-30,2025-12-26,1424
PPLPHARMA,2022-10-19,2025-12-26,789
PRAJIND,2002-07-01,2025-12-26,5833
PREMIERENE,2024-09-03,2025-12-26,329
PRESTIGE,2010-10-27,2025-12-26,3742
